week,week_start,team_1,points_1,team_2,points_2,team_id1,owner1,team_id2,owner2,Consolation,Playoff,Season
1,2021-09-09,Fantasy Sidelines,0.00,Wide Out University,0.00,1,Tim,6,Chris,0,0,2021
1,2021-09-09,Wide Out University,0.00,Fantasy Sidelines,0.00,6,Chris,1,Tim,0,0,2021
1,2021-09-09,Dak to the Future,0.00,Push Ups in Prison,0.00,2,Wesley,9,Pat,0,0,2021
1,2021-09-09,Push Ups in Prison,0.00,Dak to the Future,0.00,9,Pat,2,Wesley,0,0,2021
1,2021-09-09,Fightin’ Blue Cock/Chubb/Wood,0.00,Harris & Harris RBs at Law,0.00,3,Kevin,7,Greg,0,0,2021
1,2021-09-09,Harris & Harris RBs at Law,0.00,Fightin’ Blue Cock/Chubb/Wood,0.00,7,Greg,3,Kevin,0,0,2021
1,2021-09-09,King of the Hill,0.00,Poor Decisions 😢,0.00,4,ryan,8,Peter Billups,0,0,2021
1,2021-09-09,Poor Decisions 😢,0.00,King of the Hill,0.00,8,Peter Billups,4,ryan,0,0,2021
1,2021-09-09,Gronk's Gurley Chubb,0.00,Running Back U,0.00,5,Jeremy,10,Shinn,0,0,2021
1,2021-09-09,Running Back U,0.00,Gronk's Gurley Chubb,0.00,10,Shinn,5,Jeremy,0,0,2021
2,2021-09-14,Fantasy Sidelines,0.00,Dak to the Future,0.00,1,Tim,2,Wesley,0,0,2021
2,2021-09-14,Dak to the Future,0.00,Fantasy Sidelines,0.00,2,Wesley,1,Tim,0,0,2021
2,2021-09-14,Fightin’ Blue Cock/Chubb/Wood,0.00,Wide Out University,0.00,3,Kevin,6,Chris,0,0,2021
2,2021-09-14,Wide Out University,0.00,Fightin’ Blue Cock/Chubb/Wood,0.00,6,Chris,3,Kevin,0,0,2021
2,2021-09-14,King of the Hill,0.00,Push Ups in Prison,0.00,4,ryan,9,Pat,0,0,2021
2,2021-09-14,Push Ups in Prison,0.00,King of the Hill,0.00,9,Pat,4,ryan,0,0,2021
2,2021-09-14,Gronk's Gurley Chubb,0.00,Harris & Harris RBs at Law,0.00,5,Jeremy,7,Greg,0,0,2021
2,2021-09-14,Harris & Harris RBs at Law,0.00,Gronk's Gurley Chubb,0.00,7,Greg,5,Jeremy,0,0,2021
2,2021-09-14,Poor Decisions 😢,0.00,Running Back U,0.00,8,Peter Billups,10,Shinn,0,0,2021
2,2021-09-14,Running Back U,0.00,Poor Decisions 😢,0.00,10,Shinn,8,Peter Billups,0,0,2021
3,2021-09-21,Fantasy Sidelines,0.00,King of the Hill,0.00,1,Tim,4,ryan,0,0,2021
3,2021-09-21,King of the Hill,0.00,Fantasy Sidelines,0.00,4,ryan,1,Tim,0,0,2021
3,2021-09-21,Dak to the Future,0.00,Wide Out University,0.00,2,Wesley,6,Chris,0,0,2021
3,2021-09-21,Wide Out University,0.00,Dak to the Future,0.00,6,Chris,2,Wesley,0,0,2021
3,2021-09-21,Fightin’ Blue Cock/Chubb/Wood,0.00,Gronk's Gurley Chubb,0.00,3,Kevin,5,Jeremy,0,0,2021
3,2021-09-21,Gronk's Gurley Chubb,0.00,Fightin’ Blue Cock/Chubb/Wood,0.00,5,Jeremy,3,Kevin,0,0,2021
3,2021-09-21,Harris & Harris RBs at Law,0.00,Poor Decisions 😢,0.00,7,Greg,8,Peter Billups,0,0,2021
3,2021-09-21,Poor Decisions 😢,0.00,Harris & Harris RBs at Law,0.00,8,Peter Billups,7,Greg,0,0,2021
3,2021-09-21,Push Ups in Prison,0.00,Running Back U,0.00,9,Pat,10,Shinn,0,0,2021
3,2021-09-21,Running Back U,0.00,Push Ups in Prison,0.00,10,Shinn,9,Pat,0,0,2021
4,2021-09-28,Fantasy Sidelines,0.00,Running Back U,0.00,1,Tim,10,Shinn,0,0,2021
4,2021-09-28,Running Back U,0.00,Fantasy Sidelines,0.00,10,Shinn,1,Tim,0,0,2021
4,2021-09-28,Dak to the Future,0.00,Fightin’ Blue Cock/Chubb/Wood,0.00,2,Wesley,3,Kevin,0,0,2021
4,2021-09-28,Fightin’ Blue Cock/Chubb/Wood,0.00,Dak to the Future,0.00,3,Kevin,2,Wesley,0,0,2021
4,2021-09-28,King of the Hill,0.00,Wide Out University,0.00,4,ryan,6,Chris,0,0,2021
4,2021-09-28,Wide Out University,0.00,King of the Hill,0.00,6,Chris,4,ryan,0,0,2021
4,2021-09-28,Gronk's Gurley Chubb,0.00,Poor Decisions 😢,0.00,5,Jeremy,8,Peter Billups,0,0,2021
4,2021-09-28,Poor Decisions 😢,0.00,Gronk's Gurley Chubb,0.00,8,Peter Billups,5,Jeremy,0,0,2021
