week,week_start,team_1,points_1,team_2,points_2,team_id1,owner1,team_id2,owner2,Consolation,Playoff,Season
17,2012-12-25,Taco,135.60,Tebowners,55.64,1,--hidden--,10,--hidden--,0,1,2012
17,2012-12-25,Tebowners,55.64,Taco,135.60,10,--hidden--,1,--hidden--,0,1,2012
17,2012-12-25,Bro Lo El Cunado,49.10,Ruxin,110.12,2,--hidden--,9,--hidden--,0,1,2012
17,2012-12-25,Ruxin,110.12,Bro Lo El Cunado,49.10,9,--hidden--,2,--hidden--,0,1,2012
17,2012-12-25,The Fear Boners,98.96,ELE,96.02,4,--hidden--,6,--hidden--,0,1,2012
17,2012-12-25,ELE,96.02,The Fear Boners,98.96,6,--hidden--,4,--hidden--,0,1,2012
17,2012-12-25,Goons,105.22,ghost,112.76,7,--hidden--,12,--hidden--,0,1,2012
17,2012-12-25,ghost,112.76,Goons,105.22,12,--hidden--,7,--hidden--,0,1,2012
1,2012-09-05,Taco,99.28,Bro Lo El Cunado,128.70,1,--hidden--,2,--hidden--,0,0,2012
1,2012-09-05,Bro Lo El Cunado,128.70,Taco,99.28,2,--hidden--,1,--hidden--,0,0,2012
1,2012-09-05,Cudde2,88.92,La Flama Blanca,76.30,3,--hidden--,11,--hidden--,0,0,2012
1,2012-09-05,La Flama Blanca,76.30,Cudde2,88.92,11,--hidden--,3,--hidden--,0,0,2012
1,2012-09-05,The Fear Boners,85.36,Tebowners,106.08,4,--hidden--,10,--hidden--,0,0,2012
1,2012-09-05,Tebowners,106.08,The Fear Boners,85.36,10,--hidden--,4,--hidden--,0,0,2012
1,2012-09-05,Role players for day,86.32,Ruxin,101.04,5,--hidden--,9,--hidden--,0,0,2012
1,2012-09-05,Ruxin,101.04,Role players for day,86.32,9,--hidden--,5,--hidden--,0,0,2012
1,2012-09-05,ELE,105.72,Potatum,105.52,6,--hidden--,8,--hidden--,0,0,2012
1,2012-09-05,Potatum,105.52,ELE,105.72,8,--hidden--,6,--hidden--,0,0,2012
1,2012-09-05,Goons,105.06,ghost,82.64,7,--hidden--,12,--hidden--,0,0,2012
1,2012-09-05,ghost,82.64,Goons,105.06,12,--hidden--,7,--hidden--,0,0,2012
2,2012-09-11,Taco,65.64,Cudde2,73.24,1,--hidden--,3,--hidden--,0,0,2012
2,2012-09-11,Cudde2,73.24,Taco,65.64,3,--hidden--,1,--hidden--,0,0,2012
2,2012-09-11,Bro Lo El Cunado,109.94,ghost,70.94,2,--hidden--,12,--hidden--,0,0,2012
2,2012-09-11,ghost,70.94,Bro Lo El Cunado,109.94,12,--hidden--,2,--hidden--,0,0,2012
2,2012-09-11,The Fear Boners,67.50,La Flama Blanca,124.64,4,--hidden--,11,--hidden--,0,0,2012
2,2012-09-11,La Flama Blanca,124.64,The Fear Boners,67.50,11,--hidden--,4,--hidden--,0,0,2012
2,2012-09-11,Role players for day,56.26,Tebowners,131.84,5,--hidden--,10,--hidden--,0,0,2012
2,2012-09-11,Tebowners,131.84,Role players for day,56.26,10,--hidden--,5,--hidden--,0,0,2012
2,2012-09-11,ELE,112.72,Ruxin,117.56,6,--hidden--,9,--hidden--,0,0,2012
2,2012-09-11,Ruxin,117.56,ELE,112.72,9,--hidden--,6,--hidden--,0,0,2012
2,2012-09-11,Goons,96.46,Potatum,90.50,7,--hidden--,8,--hidden--,0,0,2012
2,2012-09-11,Potatum,90.50,Goons,96.46,8,--hidden--,7,--hidden--,0,0,2012
3,2012-09-18,Taco,67.92,The Fear Boners,97.80,1,--hidden--,4,--hidden--,0,0,2012
3,2012-09-18,The Fear Boners,97.80,Taco,67.92,4,--hidden--,1,--hidden--,0,0,2012
3,2012-09-18,Bro Lo El Cunado,106.04,Cudde2,96.70,2,--hidden--,3,--hidden--,0,0,2012
3,2012-09-18,Cudde2,96.70,Bro Lo El Cunado,106.04,3,--hidden--,2,--hidden--,0,0,2012
3,2012-09-18,Role players for day,97.02,La Flama Blanca,94.72,5,--hidden--,11,--hidden--,0,0,2012
3,2012-09-18,La Flama Blanca,94.72,Role players for day,97.02,11,--hidden--,5,--hidden--,0,0,2012
3,2012-09-18,ELE,76.38,Tebowners,105.58,6,--hidden--,10,--hidden--,0,0,2012
3,2012-09-18,Tebowners,105.58,ELE,76.38,10,--hidden--,6,--hidden--,0,0,2012
3,2012-09-18,Goons,78.80,Ruxin,71.92,7,--hidden--,9,--hidden--,0,0,2012
3,2012-09-18,Ruxin,71.92,Goons,78.80,9,--hidden--,7,--hidden--,0,0,2012
3,2012-09-18,Potatum,118.72,ghost,87.40,8,--hidden--,12,--hidden--,0,0,2012
3,2012-09-18,ghost,87.40,Potatum,118.72,12,--hidden--,8,--hidden--,0,0,2012
4,2012-09-25,Taco,117.76,Role players for day,74.86,1,--hidden--,5,--hidden--,0,0,2012
4,2012-09-25,Role players for day,74.86,Taco,117.76,5,--hidden--,1,--hidden--,0,0,2012
4,2012-09-25,Bro Lo El Cunado,104.02,The Fear Boners,117.94,2,--hidden--,4,--hidden--,0,0,2012
4,2012-09-25,The Fear Boners,117.94,Bro Lo El Cunado,104.02,4,--hidden--,2,--hidden--,0,0,2012
4,2012-09-25,Cudde2,103.12,ghost,124.50,3,--hidden--,12,--hidden--,0,0,2012
4,2012-09-25,ghost,124.50,Cudde2,103.12,12,--hidden--,3,--hidden--,0,0,2012
4,2012-09-25,ELE,111.90,La Flama Blanca,79.96,6,--hidden--,11,--hidden--,0,0,2012
4,2012-09-25,La Flama Blanca,79.96,ELE,111.90,11,--hidden--,6,--hidden--,0,0,2012
4,2012-09-25,Goons,114.56,Tebowners,101.04,7,--hidden--,10,--hidden--,0,0,2012
4,2012-09-25,Tebowners,101.04,Goons,114.56,10,--hidden--,7,--hidden--,0,0,2012
4,2012-09-25,Potatum,97.86,Ruxin,111.96,8,--hidden--,9,--hidden--,0,0,2012
4,2012-09-25,Ruxin,111.96,Potatum,97.86,9,--hidden--,8,--hidden--,0,0,2012
5,2012-10-02,Taco,106.22,ELE,89.44,1,--hidden--,6,--hidden--,0,0,2012
5,2012-10-02,ELE,89.44,Taco,106.22,6,--hidden--,1,--hidden--,0,0,2012
5,2012-10-02,Bro Lo El Cunado,73.84,Role players for day,74.00,2,--hidden--,5,--hidden--,0,0,2012
5,2012-10-02,Role players for day,74.00,Bro Lo El Cunado,73.84,5,--hidden--,2,--hidden--,0,0,2012
5,2012-10-02,Cudde2,71.88,The Fear Boners,114.90,3,--hidden--,4,--hidden--,0,0,2012
5,2012-10-02,The Fear Boners,114.90,Cudde2,71.88,4,--hidden--,3,--hidden--,0,0,2012
5,2012-10-02,Goons,93.60,La Flama Blanca,60.76,7,--hidden--,11,--hidden--,0,0,2012
5,2012-10-02,La Flama Blanca,60.76,Goons,93.60,11,--hidden--,7,--hidden--,0,0,2012
5,2012-10-02,Potatum,100.96,Tebowners,81.10,8,--hidden--,10,--hidden--,0,0,2012
5,2012-10-02,Tebowners,81.10,Potatum,100.96,10,--hidden--,8,--hidden--,0,0,2012
5,2012-10-02,Ruxin,116.16,ghost,111.62,9,--hidden--,12,--hidden--,0,0,2012
5,2012-10-02,ghost,111.62,Ruxin,116.16,12,--hidden--,9,--hidden--,0,0,2012
6,2012-10-09,Taco,111.28,Goons,101.16,1,--hidden--,7,--hidden--,0,0,2012
6,2012-10-09,Goons,101.16,Taco,111.28,7,--hidden--,1,--hidden--,0,0,2012
6,2012-10-09,Bro Lo El Cunado,125.88,ELE,109.62,2,--hidden--,6,--hidden--,0,0,2012
6,2012-10-09,ELE,109.62,Bro Lo El Cunado,125.88,6,--hidden--,2,--hidden--,0,0,2012
6,2012-10-09,Cudde2,118.76,Role players for day,109.22,3,--hidden--,5,--hidden--,0,0,2012
6,2012-10-09,Role players for day,109.22,Cudde2,118.76,5,--hidden--,3,--hidden--,0,0,2012
